SampleID	CPER_001-M-20131024
Heliobacillus	378
Heliobacterium	5729
Heliolonche	1
Heliophilum	14
Heliosperma	1
Heliothis	7
Helleria	1
Helobdella	1
Hemicentrotus	3
Hemiselmis	3
Heptathela	1
Herbaspirillum	5204
Herdmania	1
Herminiimonas	5333
Herpetosiphon	14762
Hesiolyra	1
Heterobasidion	1
Heterocapsa	4
Heterodera	2
Heteroepichloe	1
Heteromita	5
Heterosigma	13
Heuchera	1
Hevea	4
Hewittia	1
Hildebrandtia	1
Hipposideros	1
Hirschia	1914
Hirudo	1
Histomonas	3
Histophilus	499
Hoeflea	2754
Holcus	2
Holdemania	691
Holomastigotoides	1
Holothuria	1
Homalodisca	1
Homarus	1
Homo	465
Hookeria	1
Hordelymus	1
Hordeum	330
Hotaria	1
Humbertia	1
Hyacinthus	1
Hyaloperonospora	2
Hyaloraphidium	1
Hybanthus	1
Hydra	468
Hydrangea	1
Hydrodictyon	2
Hydrogenimonas	1
Hydrogenivirga	1688
Hydrogenobacter	1302
Hydrogenobaculum	802
Hydrogenophaga	134
Hydrogenophilus	8
Hydrogenothermus	3
Hydrogenovibrio	2
Hydropsyche	1
Hyla	2
Hylobates	3
Hymenobacter	7
Hymenochirus	1
Hymenoscyphus	1
Hyperamoeba	1
Hypericum	1
Hyperthermus	734
Hyphochytrium	5
Hyphomicrobium	7224
Hyphomonas	6795
Hypocrea	32
Hypogastrura	1
Hypophthalmichthys	1
Hypsibius	2
Hypsizygus	1
Hyriopsis	1
I3-like viruses	36
Ichnovirus	1
Ictalurus	27
Ictidomys	3
Ideonella	1
Idiomarina	2985
Idiosepius	1
Ignatzschineria	2
Ignicoccus	282
Ignisphaera	199
Ilex	1
Illicium	1
Ilyanassa	1
Ilyobacter	676
Inocybe	1
Inovirus	3
Intrasporangium	8749
Ipomoea	14
Ircinia	1
Isaria	2
Iseia	1
Isochrysis	2
Isoetes	3
Isoptericola	2
Isosphaera	19969
Isotricha	1
Itzaea	1
Ixiolirion	1
Ixodes	474
Jacquemontia	1
Janibacter	8346
Jannaschia	4964
Janthinobacterium	8572
Jasminum	2
Jeongeupia	2
Joinvillea	1
Jonesia	1721
Jonquetella	656
Juniperus	1
Kallichroma	2
Kangiella	2615
Karenia	32
Karlodinium	14
Kengyilia	1
Keteleeria	1
Ketogulonicigenium	2376
Kibdelosporangium	73
Kineococcus	23712
Kinetoplastibacterium	1
Kingella	392
Kitasatospora	6498
Klebsiella	3120
Klebsormidium	2
Kluyvera	2
Kluyveromyces	100
Knorringia	1
Kocuria	2255
Koliella	2
Komagataella	85
Kordia	1754
Kordiimonas	1
Kosmotoga	1353
Kozakia	2
Kribbella	40887
Kryptoperidinium	14
Ktedonobacter	29895
Kurthia	8
Kutzneria	50
Kyrpidia	5817
Kytococcus	3577
L5-like viruses	5
LUZ24-like viruses	9
Labrenzia	9667
Laccaria	571
Laceyella	4
Lachancea	59
Lacrymaria	2
Lactarius	1
Lactobacillus	6743
Lactococcus	961
Lactoris	1
Lactuca	4
Lagenidium	1
Lama	2
Lambda-like viruses	53
Laminaria	4
Lampetra	1
Laqueus	1
Laribacter	2439
Laternula	1
Lathyrus	1
Latrodectus	4
Laurus	4
Lautropia	1154
Lawsonia	1143
Leadbetterella	3709
Lecanicillium	7
Leccinum	1
Lechevalieria	6
Leeuwenhoekiella	3565
Legionella	7590
Legousia	1
Leifsonia	6601
Leiolepis	3
Leiopelma	1
Leishmania	238
Leisingera	1
Lemna	6
Lemur	1
Lens	2
Lentinula	5
Lentinus	1
Lentisphaera	2289
Lentivirus	2
Lentzea	1
Leotia	1
Lepeophtheirus	29
Lepidium	1
Lepidochitona	1
Lepidodinium	1
Lepidozamia	1
Lepisosteus	1
Leptobryum	2
Leptochiton	2
Leptocodon	1
Leptographium	1
Leptolyngbya	70
Leptomonas	2
Leptosira	6
Leptosphaeria	8
Leptospira	7837
Leptospirillum	4170
Leptothrix	9875
Leptotrichia	763
Lessonia	1
Lessoniopsis	1
Leucaena	1
Leucoagaricus	1
Leucocryptos	1
Leuconostoc	843
Leucoraja	2
Leucosporidium	1
Leucothrix	1
Leymus	2
Libinia	1
Lichtheimia	1
Lilium	6
Limnanthes	5
Limnobacter	1
Limnochares	1
Limonium	1
Limulus	5
Lingulodinium	1
Linum	1
Lipomyces	4
Liriodendron	2
Listeria	3702
Listonella	20
Lithospermum	1
Litopenaeus	3
Littledalea	1
Liza	1
Loa	154
Lobularia	1
Locusta	2
Lodderomyces	74
Loktanella	1285
Lolium	8
Lonepinella	1
Longidorus	6
Lonomia	1
Lonsdalea	1
Lophopyrum	1
Lotus	3
Loxodonta	2
Loxosceles	1
Loxostege	1
Loxothylacus	2
Luciola	5
Luidia	1
Lupinus	2
Lutiella	4265
Lyciasalamandra	1
Lycopodium	1
Lycosa	2
Lymnaea	3
Lynceus	1
Lyngbya	3608
Lysinibacillus	1635
Lysiphlebus	2
Lysobacter	86
Lytechinus	1
Macaca	339
Macavirus	4
Machiloides	1
Mackinlaya	3
Maconellicoccus	4
Macrobrachium	2
Macrococcus	333
Macrophiothrix	1
Macropus	5
Macrorhamphosodes	1
Macroscelides	3
Macrozamia	1
Magnaporthe	1631
Magnetococcus	5772
Magnetospirillum	35581
Magnolia	1
Makaira	1
Malassezia	139
Malawimonas	8
Malonomonas	1
Malus	2
Manduca	2
Mannheimia	291
Maorigoeldia	1
Marchantia	35
Maribacter	5745
Maricaulis	6366
Marichromatium	5
Marinitoga	1148
