SampleID	CPER_003-M-20140116
Desulfonauticus	1
Desulfonispora	2
Desulfosarcina	1
Desulfosporosinus	4
Desulfotalea	9016
Desulfotignum	52
Desulfotomaculum	27804
Desulfovibrio	81364
Desulfurella	2
Desulfurispirillum	5004
Desulfurivibrio	10174
Desulfurococcus	930
Desulfuromonas	10449
Desulfuromusa	10
Dethiobacter	7247
Dethiosulfovibrio	4725
Diabolocatantops	1
Diacronema	1
Diadasia	1
Dialister	1775
Diamesa	1
Dianthus	24
Diaphanoeca	3
Diaphorina	1
Diaphorobacter	17
Diaporthe	1
Diatraea	3
Dicentrarchus	2
Dichelachne	4
Dichelobacter	1705
Dichorragia	1
Dickeya	7272
Dicranum	1
Dictyocaulus	5
Dictyoglomus	11138
Dictyostelium	4535
Dictyota	1
Dicyema	2
Didelphis	1
Didinium	6
Didymella	1
Didymium	2
Dietzia	5345
Digitalis	2
Diguetia	2
Dimocarpus	1
Dimorphanthera	1
Dimorphotheca	1
Dinocampus	1
Dinochloa	1
Dinoroseobacter	9724
Dinothrombium	3
Dionaea	1
Dioscorea	9
Diospyros	5
Diplasterias	1
Diplorickettsia	2
Diploscapter	1
Diplosphaera	10777
Dipodascus	3
Dipterocarpus	3
Dirofilaria	3
Ditylenchus	3
Ditylum	1
Diurnea	2
Dixoniella	1
Dokdonia	4207
Dolichomastix	1
Dolichospermum	169
Donatia	1
Doohwaniella	2
Dorea	1159
Doryphora	1
Dothidea	1
Draba	1
Dracaena	1
Draparnaldia	1
Drechslera	2
Dreissena	1
Drosera	1
Drosophila	3540
Dryopteris	1
Drypetes	2
Duckeodendron	1
Duganella	9
Dugesia	6
Dunaliella	26
Dunnia	1
Durinskia	16
Dyadobacter	45640
Dyella	13
Echiniscus	1
Echinochloa	3
Echinococcus	4
Echinolaena	2
Echinometra	1
Echinops	3
Ectocarpus	1079
Ectothiorhodospira	12
Edwardsiella	3171
Edwardsina	1
Eggerthella	4458
Ehretia	1
Ehrharta	1
Ehrlichia	1136
Eikenella	1039
Eimeria	25
Eirene	1
Eisenia	5
Elaeagnus	1
Elaeis	16
Eleocharis	19
Eleotris	1
Elephantulus	3
Eleusine	2
Eleutherodactylus	1
Elimaea	1
Elizabethkingia	57
Ellisochloa	3
Elops	1
Elusimicrobium	2565
Elymus	2
Elysia	2
Embellisia	3
Emericella	1563
Emiliania	15
Empedobacter	1
Encarsia	1
Encephalartos	2
Encephalitozoon	162
Enchytraeus	14
Endoriftia	2078
Engraulis	1
Engyodontium	2
Enhydrobacter	850
Enhygromyxa	7
Ensifer	61
Entamoeba	274
Enterobacter	5803
Enterococcus	6611
Enteroctopus	3
Enterocytozoon	40
Enterorhabdus	2
Enterovirus	1
Entodinium	3
Entoloma	2
Entomophthora	2
Entomoplasma	2
Entorhipidium	1
Entyloma	1
Eotrichocolea	2
Ephedra	1
Ephemerella	3
Epichloe	10
Epidermophyton	1
Epifagus	2
Epinephelus	4
Epomophorus	1
Epsilon15-like viruses	14
Eptatretus	2
Epulopiscium	536
Equisetum	13
Equus	275
Eragrostis	2
Eremococcus	371
Eremosphaera	2
Eremosyne	1
Eremothecium	653
Erinaceus	3
Eriocheir	1
Eriocottis	1
Eriphia	1
Erodium	4
Erwinia	4759
Erysipelothrix	393
Erythrobacter	56939
Erythromicrobium	1
Escarpia	1
Escherichia	11703
Esox	16
Ethanoligenens	2912
Eubacterium	9117
Eucalyptus	11
Euclea	1
Eudiplodinium	1
Eudoxoides	1
Eufolliculina	4
Euglena	22
Euhalothece	1
Eulaema	1
Eulemur	2
Eumesocampa	1
Eunice	1
Euonymus	2
Euphorbia	3
Euphronia	1
Euplotes	8
Eupomatia	1
Eupronoe	3
Euprymna	3
Euroglyphus	1
Eurotium	5
Eurygaster	6
Eurytemora	1
Eurythenes	1
Euscorpius	1
Eutrema	6
Eutreptiella	2
Eutrichosoma	1
Evania	1
Exidia	7
Exiguobacterium	7608
Exochorda	1
Exophiala	2
Faecalibacterium	2404
Fagopyrum	3
Fagus	2
Fargesia	3
Fasciola	2
Felis	19
Fenneropenaeus	24
Ferrimonas	3289
Ferroglobus	1685
Ferroplasma	632
Fervidicoccus	1
Fervidobacterium	4291
Festuca	21
Fibrobacter	3354
Filamoeba	1
Filaria	1
Filifactor	727
Filobasidiella	1977
Finegoldia	1115
Fischerella	341
Flabellum	1
Flaccisagitta	1
Flagellaria	1
Flammeovirga	77
Flammula	1
Flammulina	2
Flaveria	102
Flavobacterium	37018
Flectobacillus	3
Flexibacter	19
Flexistipes	16
Flexithrix	4
Florenciella	1
Floydiella	2
Fluoribacter	81
Fomitopsis	1
Forficula	3
Fragaria	11
Francisella	3203
Frankia	395461
Frankliniella	1
Frateuria	6
Frigoribacterium	3
Frillagalma	1
Fructobacillus	4
Frullania	1
Fucus	12
Fulvimarina	4889
Funaria	1
Fundulus	2
Funneliformis	23
Furcellaria	1
Fusarium	55
Fusibacter	1
Fusigobius	1
Fusobacterium	6730
Gadus	20
Gaeumannomyces	2
Gaiadendron	1
Galactomyces	2
Galdieria	17
Galega	4
Galeomma	1
Galium	1
Galleria	1
Gallibacterium	13
Gallionella	6738
Gallus	948
Gamsiella	2
Ganoderma	1
Gardnerella	1059
Gasterosteus	1495
Gastonia	1
Gastrophysa	3
Geitlerinema	5
Gemella	594
Geminella	1
Geminicoccus	1
Geminocystis	83
Gemmata	103377
Gemmatimonas	178158
Gentiana	7
Geoalkalibacter	3
Geobacillus	46897
Geobacter	179485
Geodermatophilus	123871
Geodia	3
Geomyces	1
Geomys	2
Geopsychrobacter	3
Gephyrocapsa	1
Geranium	8
Gerbera	1
Giardia	156
Gibberella	183
Gigantochloa	2
Gigaspora	1
Gillenia	1
Gillichthys	1
Ginkgo	23
Githopsis	1
Giuris	1
Glaciecola	2
Glaciibacter	24
Glarea	1
Glaucidium	1
Glaucocystis	10
Globba	1
Globigerinita	1
Globodera	4
Gloeobacter	61716
Gloeocapsopsis	1
Gloeochaete	2
Gloeothece	10
Glomerella	17
Glomus	3
Glossina	97
Gluconacetobacter	17174
Gluconobacter	9056
Glycine	155
Glycomyces	1
Glyphium	1
Glyptapanteles	3
Glyptotendipes	1
Gnathostomula	1
Gnetum	7
Gnomonia	1
Gomesa	3
Gomortega	2
Gonystylus	7
Goodenia	1
Goodyera	2
Gordonia	19214
Gordonibacter	1133
