SampleID	CPER_002-M-14-37-20140117
Cycloclasticus	7
Cyclotella	1
Cydia	2
Cylindrospermopsis	1242
Cylindrotheca	4
Cynara	1
Cynodon	1
Cynoglossus	1
Cynopterus	4
Cyperus	1
Cyphoderia	1
Cypridopsis	2
Cyprinus	3
Cystobacter	198
Cystopteris	2
Cytophaga	12178
Dactylanthus	1
Dactylellina	1
Dactylococcopsis	2
Dactylosporangium	14
Damiria	1
Danio	1241
Danthonia	1
Daphnia	439
Dasypus	3
Daucus	4
Davidiella	1
Debaryomyces	193
Dechloromonas	9579
Deferribacter	2660
Dehalobacter	2
Dehalococcoides	7156
Dehalogenimonas	3493
Deinococcus	29840
Deinopis	1
Dekkera	3
Delftia	8632
Demansia	2
Demequina	2
Dendrobium	2
Dendrocalamus	23
Dendroctonus	1
Denitrovibrio	2083
Dermacentor	1
Dermacoccus	3363
Dermatophagoides	2
Deschampsia	1
Desmarestia	1
Desmognathus	1
Desulfarculus	5417
Desulfatibacillum	8435
Desulfitobacterium	8946
Desulfobacterium	4186
Desulfobotulus	1
Desulfobulbus	3557
Desulfococcus	6030
Desulfofaba	1
Desulfohalobium	2820
Desulfomicrobium	4485
Desulfomonile	6
Desulfonatronospira	2170
Desulfonatronovibrio	18
Desulfonispora	5
Desulfotalea	4412
Desulfotignum	22
Desulfotomaculum	12147
Desulfovibrio	37795
Desulfovirga	1
Desulfurispirillum	2160
Desulfurivibrio	4561
Desulfurococcus	371
Desulfuromonas	4362
Dethiobacter	3353
Dethiosulfovibrio	2141
Deutzia	1
Diabrotica	2
Dialister	749
Dianthus	9
Diaphorobacter	11
Diaphus	1
Diaporthe	1
Dichanthelium	1
Dichelobacter	850
Dichondra	1
Dickeya	3654
Dicranostyles	1
Dictyocaulus	4
Dictyocha	1
Dictyoglomus	4972
Dictyostelium	2286
Dictyota	2
Dictyuchus	1
Dicyema	1
Dicyemodeca	1
Didinium	1
Didiscus	1
Didymella	1
Didymium	2
Dietzia	2887
Digitalis	3
Dillenia	2
Dinoroseobacter	4785
Dionaea	1
Dioon	1
Dioscorea	8
Diplonema	1
Diplonychus	1
Diplophos	1
Diplosphaera	3
Dipodomys	2
Dipterocarpus	1
Dipteropeltis	1
Dissostichus	1
Distichlis	5
Ditylenchus	1
Dokdonia	1637
Dolichospermum	84
Donkioporia	1
Doohwaniella	1
Dorea	603
Doryteuthis	1
Dreissena	1
Drimys	1
Drosophila	1540
Drypetes	3
Duganella	1
Dugesia	2
Dunaliella	11
Durinskia	42
Dyadobacter	19361
Dyella	3
Ebria	1
Ecdeiocolea	1
Echinochloa	1
Echinococcus	3
Echinometra	1
Echium	1
Eclysippe	1
Ectocarpus	552
Ectothiorhodospira	3
Edwardsiella	1464
Eggerthella	2418
Ehretia	1
Ehrharta	1
Ehrlichia	489
Eikenella	382
Eimeria	10
Elaeis	7
Electrophorus	2
Eleocharis	8
Elephantulus	2
Eleusine	6
Elizabethkingia	40
Eloria	1
Elsinoe	1
Elusimicrobium	1204
Elymus	1
Elysia	1
Embellisia	2
Emericella	836
Emiliania	6
Emoia	1
Encephalartos	1
Encephalitozoon	89
Enchytraeus	12
Encope	1
Endarachne	1
Endoriftia	942
Enhydrobacter	368
Enhygromyxa	5
Ennucula	1
Ensifer	78
